copies|title|title_style|subtitle|subtitle_style|reason|instructions|description_title|description_img|description|action|type|counterCard|id
2|Fitness Function||Quality Gate||SonarQube is run during the build|Pick again after one failed chance.|Fitness Function|icons/fitness_icon.jpg|A score that measures how well a design meets desired qualities like security or scalability, guiding decisions towards a successful system.|1|Inoculation||1
3|Fitness Function||Monitoring and Observability||"Logs, Metrics and Traces are correlated"|Pick again after one failed chance.|Fitness Function|icons/fitness_icon.jpg|A score that measures how well a design meets desired qualities like security or scalability, guiding decisions towards a successful system.|1|Inoculation||2
2|Fitness Function||Full Kit||Catch a necessary approval ahead of time|Pick again after one failed chance.|Fitness Function|icons/fitness_icon.jpg|A score that measures how well a design meets desired qualities like security or scalability, guiding decisions towards a successful system.|1|Inoculation||3
3|Fitness Function||Unit Tests||Unit test coverage at 80%|Pick again after one failed chance.|Fitness Function|icons/fitness_icon.jpg|A score that measures how well a design meets desired qualities like security or scalability, guiding decisions towards a successful system.|1|Inoculation||4
2|Fitness Function||Automation||Dependency license check automated|Pick again after one failed chance.|Fitness Function|icons/fitness_icon.jpg|A score that measures how well a design meets desired qualities like security or scalability, guiding decisions towards a successful system.|1|Inoculation||5
1|Fitness Function||Resilience||Chaos Monkey implemented in production|Pick again after one failed chance.|Fitness Function|icons/fitness_icon.jpg|A score that measures how well a design meets desired qualities like security or scalability, guiding decisions towards a successful system.|1|Inoculation||6
4|Architectural Decision Record||Improve a workstation||+1|Add one to any workstation capacity. (Max 6)|Architectural Decision Record (ADR)|icons/record_icon.jpg|"Documents a key design choice, explaining its reasoning and potential impacts for future reference."|2|Booster||7
1|Architectural Decision Record||Improve a workstation||Double|Double any workstation capacity. (Max 6)|Architectural Decision Record (ADR)|icons/record_icon.jpg|"Documents a key design choice, explaining its reasoning and potential impacts for future reference."|3|Booster||8
6|Site Reliability Engineering||Team engages an SRE||Automate a workstation|Add an automated server to any available workstation|Site Reliability Engineer|icons/wizard_icon.jpg|An IT specialist who blends coding with operations to ensure software runs smoothly and scales effectively.|4|Booster||9
3|Regular Patching||Security||Hold until used|Mitigates a Security Vulnerability when used.||||5|Inoculation|28|10
2|End to End encrypt your PII and other sensitive data||Security||Hold until used|Reduces impact of Data Breach from 1 week to one day when activated.||| Team must lose a day (before breach) in order for this card to be used.|6|Inoculation|27|11
2|Implement strongly encrypted passwords||Security||Hold until used|Blocks ransomware attack.||| One server must lose a day (before attack) for this card to be used.|7|Inoculation|17|12
1|Functional Metrics are put in place and used regularly||Observability|| |Finished goods are now worth 4.||||8|Booster||13
1|Team implements Paired Programming||Team Topology||After initial placement it can only be moved at the start of a week.|Place Pair Partner card alongside a human server. ||| Grants the station it’s assigned to one extra chance at work each day until end of game.|9|Booster||14
1|Too many status meetings|"{color:rgba(236, 32, 41, 1)}"|Anti-pattern|"{color:rgba(236, 32, 41, 1)}"| |Team loses a day.||||10|Trap||15
1|Bad Multitasking overloads a server|"{color:rgba(236, 32, 41, 1)}"|Anti-pattern|"{color:rgba(236, 32, 41, 1)}"| |Human server on your lowest capacity workstation lose a day.||||11|Trap||16
1|Ransomware Attack!|"{color:rgba(236, 32, 41, 1)}"|Security|"{color:rgba(236, 32, 41, 1)}"| |Team loses a day.||||10|Trap|12|17
1|Missing full-kit check causes you to miss a required approval.|"{color:rgba(236, 32, 41, 1)}"|Full Kit|"{color:rgba(236, 32, 41, 1)}"||Next server loses a day.||||11|Trap||19
1|Defective product is found by a customer.|"{color:rgba(236, 32, 41, 1)}"|Security|"{color:rgba(236, 32, 41, 1)}"| |Return all finished goods to the backlog.||||12|Trap||20
1|Defective work items|"{color:rgba(236, 32, 41, 1)}"||"{color:rgba(236, 32, 41, 1)}"||Move work items from the color printed on this card back to the previous container.||blocks/block_rose.jpg|ROSE|13|Trap||21
1|Defective work items|"{color:rgba(236, 32, 41, 1)}"||"{color:rgba(236, 32, 41, 1)}"||Move work items from the color printed on this card back to the previous container.||blocks/block_blue.jpg|BLUE|13|Trap||22
1|Defective work items|"{color:rgba(236, 32, 41, 1)}"||"{color:rgba(236, 32, 41, 1)}"||Move work items from the color printed on this card back to the previous container.||blocks/block_green.jpg|GREEN|13|Trap||23
1|Defective work items|"{color:rgba(236, 32, 41, 1)}"||"{color:rgba(236, 32, 41, 1)}"||Move work items from the color printed on this card back to the previous container.||blocks/block_violet.jpg|VIOLET|13|Trap||24
1|Defective work items|"{color:rgba(236, 32, 41, 1)}"||"{color:rgba(236, 32, 41, 1)}"||Move work items from the color printed on this card back to the previous container.||blocks/block_yellow.jpg|YELLOW|13|Trap||25
1|Sev 1!|"{color:rgba(236, 32, 41, 1)}"|Operability|"{color:rgba(236, 32, 41, 1)}"||Team loses a day.||||14|Trap|29|26
1|Data Breach!|"{color:rgba(236, 32, 41, 1)}"|Security|"{color:rgba(236, 32, 41, 1)}"||Team loses a week.||||15|Trap|11|27
1|Discover a critical security vulnerability in production!|"{color:rgba(236, 32, 41, 1)}"|Security|"{color:rgba(236, 32, 41, 1)}"||Team loses a day.||||10|Trap|10|28
2|Self Healing prevents a Sev 1||Operability|||Negates a Sev 1|||One server must lose a day (before attack) for this card to be used.|7|Inoculation|26|29